time,H_VV_out_alpha,H_VV_out_beta
409.0,-3.6163539815016243e+19,-3.6163539815016243e+19
410.0,-3.6251959227766895e+19,-3.6251959227766895e+19
411.0,-3.6340378640517546e+19,-3.6340378640517546e+19
412.0,-3.6428798053268193e+19,-3.6428798053268193e+19
413.0,-3.6517217466018845e+19,-3.6517217466018845e+19
414.0,-3.6605636878769496e+19,-3.6605636878769496e+19
415.0,-3.6694056291520147e+19,-3.6694056291520147e+19
416.0,-3.67824757042708e+19,-3.67824757042708e+19
417.0,-3.687089511702145e+19,-3.687089511702145e+19
418.0,-3.69593145297721e+19,-3.69593145297721e+19
419.0,-3.704773394252275e+19,-3.704773394252275e+19
420.0,-3.7136153355273404e+19,-3.7136153355273404e+19
421.0,-3.722457276802405e+19,-3.722457276802405e+19
422.0,-3.73129921807747e+19,-3.73129921807747e+19
423.0,-3.7401411593525354e+19,-3.7401411593525354e+19
424.0,-3.7489831006276e+19,-3.7489831006276e+19
425.0,-3.757825041902666e+19,-3.757825041902666e+19
426.0,-3.7666669831777305e+19,-3.7666669831777305e+19
427.0,-3.775508924452796e+19,-3.775508924452796e+19
428.0,-3.784350865727861e+19,-3.784350865727861e+19
429.0,-3.7931928070029255e+19,-3.7931928070029255e+19
430.0,-3.802034748277991e+19,-3.802034748277991e+19
431.0,-3.810876689553056e+19,-3.810876689553056e+19
432.0,-3.819718630828121e+19,-3.819718630828121e+19
433.0,-3.828560572103186e+19,-3.828560572103186e+19
434.0,-3.8374025133782516e+19,-3.8374025133782516e+19
435.0,-3.846244454653316e+19,-3.846244454653316e+19
436.0,-3.855086395928381e+19,-3.855086395928381e+19
437.0,-3.8639283372034466e+19,-3.8639283372034466e+19
438.0,-3.872770278478511e+19,-3.872770278478511e+19
439.0,-3.881612219753577e+19,-3.881612219753577e+19
440.0,-3.8904541610286416e+19,-3.8904541610286416e+19
441.0,-3.899296102303707e+19,-3.899296102303707e+19
442.0,-3.908138043578772e+19,-3.908138043578772e+19
443.0,-3.916979984853837e+19,-3.916979984853837e+19
444.0,-3.925821926128902e+19,-3.925821926128902e+19
445.0,-3.934663867403967e+19,-3.934663867403967e+19
446.0,-3.9435058086790324e+19,-3.9435058086790324e+19
447.0,-3.952347749954097e+19,-3.952347749954097e+19
448.0,-3.961189691229163e+19,-3.961189691229163e+19
449.0,-3.9700316325042274e+19,-3.9700316325042274e+19
450.0,-3.978873573779292e+19,-3.978873573779292e+19
451.0,-3.987715515054358e+19,-3.987715515054358e+19
452.0,-3.9965574563294224e+19,-3.9965574563294224e+19
453.0,-4.005399397604488e+19,-4.005399397604488e+19
454.0,-4.014241338879553e+19,-4.014241338879553e+19
455.0,-4.023083280154618e+19,-4.023083280154618e+19
456.0,-4.031925221429683e+19,-4.031925221429683e+19
457.0,-4.040767162704748e+19,-4.040767162704748e+19
458.0,-4.049609103979813e+19,-4.049609103979813e+19
459.0,-4.058451045254878e+19,-4.058451045254878e+19
460.0,-4.0672929865299436e+19,-4.0672929865299436e+19
461.0,-4.076134927805008e+19,-4.076134927805008e+19
462.0,-4.084976869080074e+19,-4.084976869080074e+19
463.0,-4.0938188103551386e+19,-4.0938188103551386e+19
464.0,-4.102660751630203e+19,-4.102660751630203e+19
465.0,-4.111502692905269e+19,-4.111502692905269e+19
466.0,-4.1203446341803336e+19,-4.1203446341803336e+19
467.0,-4.129186575455399e+19,-4.129186575455399e+19
468.0,-4.138028516730464e+19,-4.138028516730464e+19
469.0,-4.146870458005529e+19,-4.146870458005529e+19
470.0,-4.155712399280594e+19,-4.155712399280594e+19
471.0,-4.164554340555659e+19,-4.164554340555659e+19
472.0,-4.173396281830724e+19,-4.173396281830724e+19
473.0,-4.182238223105789e+19,-4.182238223105789e+19
474.0,-4.191080164380855e+19,-4.191080164380855e+19
475.0,-4.1999221056559194e+19,-4.1999221056559194e+19
476.0,-4.208764046930985e+19,-4.208764046930985e+19
